Question,Company
Minesweeper,Microsoft
K-diff Pairs in an Array,Microsoft
Encode and Decode TinyURL,Microsoft
Single Element in a Sorted Array,Microsoft
Diameter of Binary Tree,Microsoft
Boundary of Binary Tree,Microsoft
Friend Circles,Microsoft
Next Greater Element III,Microsoft
Reverse Words in a String III,Microsoft
Subarray Sum Equals K,Microsoft
Permutation in String,Microsoft
Subtree of Another Tree,Microsoft
Task Scheduler,Microsoft
Design Circular Queue,Microsoft
Course Schedule III,Microsoft
Exclusive Time of Functions,Microsoft
Design Search Autocomplete System,Microsoft
Palindromic Substrings,Microsoft
Two Sum IV - Input is a BST,Microsoft
Maximum Width of Binary Tree,Microsoft
Trim a Binary Search Tree,Microsoft
24 Game,Microsoft
Valid Palindrome II,Microsoft
Next Closest Time,Microsoft
Knight Probability in Chessboard,Microsoft
Top K Frequent Words,Microsoft
Max Area of Island,Microsoft
Insert into a Binary Search Tree,Microsoft
Search in a Sorted Array of Unknown Size,Microsoft
Kth Largest Element in a Stream,Microsoft
Design HashMap,Microsoft
Design Linked List,Microsoft
Max Stack,Microsoft
1-bit and 2-bit Characters,Microsoft
Accounts Merge,Microsoft
Remove Comments,Microsoft
Find Pivot Index,Microsoft
Minimum Window Subsequence,Microsoft
My Calendar I,Microsoft
Flood Fill,Microsoft
Daily Temperatures,Microsoft
Open the Lock,Microsoft
Employee Free Time,Microsoft
Reorganize String,Microsoft
Basic Calculator III,Microsoft
Sliding Puzzle,Microsoft
Is Graph Bipartite?,Microsoft
Valid Tic-Tac-Toe State,Microsoft
Count Unique Characters of All Substrings of a Given String,Microsoft
Flipping an Image,Microsoft
Find And Replace in String,Microsoft
Rectangle Overlap,Microsoft
Backspace String Compare,Microsoft
Longest Mountain in Array,Microsoft
Maximize Distance to Closest Person,Microsoft
All Nodes Distance K in Binary Tree,Microsoft
Transpose Matrix,Microsoft
Leaf-Similar Trees,Microsoft
Middle of the Linked List,Microsoft
Spiral Matrix III,Microsoft
Sum of Subarray Minimums,Microsoft
Snakes and Ladders,Microsoft
Complete Binary Tree Inserter,Microsoft
Shortest Bridge,Microsoft
Knight Dialer,Microsoft
Reveal Cards In Increasing Order,Microsoft
Pancake Sorting,Microsoft
K Closest Points to Origin,Microsoft
Squares of a Sorted Array,Microsoft
Distribute Coins in Binary Tree,Microsoft
Time Based Key-Value Store,Microsoft
Vertical Order Traversal of a Binary Tree,Microsoft
Cousins in Binary Tree,Microsoft
Rotting Oranges,Microsoft
Max Consecutive Ones III,Microsoft
Binary Search Tree to Greater Sum Tree,Microsoft
Longest Duplicate Substring,Microsoft
Letter Tile Possibilities,Microsoft
Shortest Path in Binary Matrix,Microsoft
Print Zero Even Odd,Microsoft
Parallel Courses,Microsoft
Longest Common Subsequence,Microsoft
Binary Tree Coloring Game,Microsoft
Number of Dice Rolls With Target Sum,Microsoft
Swap For Longest Repeated Character Substring,Microsoft
Day of the Week,Microsoft
Design Bounded Blocking Queue,Microsoft
Critical Connections in a Network,Microsoft
Minimum Knight Moves,Microsoft
Design Skiplist,Microsoft
Meeting Scheduler,Microsoft
Web Crawler,Microsoft
Maximum Length of a Concatenated String with Unique Characters,Microsoft
Palindrome Removal,Microsoft
Minimum Remove to Make Valid Parentheses,Microsoft
Find N Unique Integers Sum up to Zero,Microsoft
Angle Between Hands of a Clock,Microsoft
Bulb Switcher III,Microsoft
Two Sum,Amazon
Add Two Numbers,Amazon
Longest Substring Without Repeating Characters,Amazon
Median of Two Sorted Arrays,Amazon
Longest Palindromic Substring,Amazon
ZigZag Conversion,Amazon
Reverse Integer,Amazon
String to Integer (atoi),Amazon
Palindrome Number,Amazon
Regular Expression Matching,Amazon
Container With Most Water,Amazon
Integer to Roman,Amazon
Roman to Integer,Amazon
Longest Common Prefix,Amazon
3Sum,Amazon
3Sum Closest,Amazon
Letter Combinations of a Phone Number,Amazon
4Sum,Amazon
Remove Nth Node From End of List,Amazon
Valid Parentheses,Amazon
Merge Two Sorted Lists,Amazon
Generate Parentheses,Amazon
Merge k Sorted Lists,Amazon
Swap Nodes in Pairs,Amazon
Reverse Nodes in k-Group,Amazon
Remove Duplicates from Sorted Array,Amazon
Implement strStr(),Amazon
Divide Two Integers,Amazon
Next Permutation,Amazon
Longest Valid Parentheses,Amazon
Search in Rotated Sorted Array,Amazon
Find First and Last Position of Element in Sorted Array,Amazon
Search Insert Position,Amazon
Valid Sudoku,Amazon
Sudoku Solver,Amazon
Count and Say,Amazon
Combination Sum,Amazon
Combination Sum II,Amazon
First Missing Positive,Amazon
Trapping Rain Water,Amazon
Multiply Strings,Amazon
Wildcard Matching,Amazon
Jump Game II,Amazon
Permutations,Amazon
Permutations II,Amazon
Rotate Image,Amazon
Group Anagrams,Amazon
"Pow(x, n)",Amazon
N-Queens,Amazon
N-Queens II,Amazon
Maximum Subarray,Amazon
Spiral Matrix,Amazon
Jump Game,Amazon
Merge Intervals,Amazon
Insert Interval,Amazon
Spiral Matrix II,Amazon
Rotate List,Amazon
Unique Paths,Amazon
Unique Paths II,Amazon
Minimum Path Sum,Amazon
Valid Number,Amazon
Plus One,Amazon
Add Binary,Amazon
Text Justification,Amazon
Sqrt(x),Amazon
Climbing Stairs,Amazon
Simplify Path,Amazon
Edit Distance,Amazon
Set Matrix Zeroes,Amazon
Search a 2D Matrix,Amazon
Sort Colors,Amazon
Minimum Window Substring,Amazon
Combinations,Amazon
Subsets,Amazon
Word Search,Amazon
Search in Rotated Sorted Array II,Amazon
Remove Duplicates from Sorted List II,Amazon
Remove Duplicates from Sorted List,Amazon
Largest Rectangle in Histogram,Amazon
Maximal Rectangle,Amazon
Partition List,Amazon
Merge Sorted Array,Amazon
Subsets II,Amazon
Decode Ways,Amazon
Reverse Linked List II,Amazon
Restore IP Addresses,Amazon
Binary Tree Inorder Traversal,Amazon
Unique Binary Search Trees II,Amazon
Unique Binary Search Trees,Amazon
Interleaving String,Amazon
Validate Binary Search Tree,Amazon
Recover Binary Search Tree,Amazon
Same Tree,Amazon
Symmetric Tree,Amazon
Binary Tree Level Order Traversal,Amazon
Binary Tree Zigzag Level Order Traversal,Amazon
Maximum Depth of Binary Tree,Amazon
Construct Binary Tree from Preorder and Inorder Traversal,Amazon
Construct Binary Tree from Inorder and Postorder Traversal,Amazon
Binary Tree Level Order Traversal II,Amazon
Convert Sorted Array to Binary Search Tree,Amazon
Convert Sorted List to Binary Search Tree,Amazon
Balanced Binary Tree,Amazon
Path Sum,Amazon
Path Sum II,Amazon
Flatten Binary Tree to Linked List,Amazon
Distinct Subsequences,Amazon
Populating Next Right Pointers in Each Node,Amazon
Populating Next Right Pointers in Each Node II,Amazon
Pascal's Triangle,Amazon
Triangle,Amazon
Best Time to Buy and Sell Stock,Amazon
Best Time to Buy and Sell Stock II,Amazon
Best Time to Buy and Sell Stock III,Amazon
Binary Tree Maximum Path Sum,Amazon
Valid Palindrome,Amazon
Word Ladder II,Amazon
Word Ladder,Amazon
Longest Consecutive Sequence,Amazon
Sum Root to Leaf Numbers,Amazon
Surrounded Regions,Amazon
Palindrome Partitioning,Amazon
Palindrome Partitioning II,Amazon
Clone Graph,Amazon
Gas Station,Amazon
Candy,Amazon
Single Number,Amazon
Single Number II,Amazon
Copy List with Random Pointer,Amazon
Word Break,Amazon
Word Break II,Amazon
Linked List Cycle,Amazon
Reorder List,Amazon
Binary Tree Preorder Traversal,Amazon
Binary Tree Postorder Traversal,Amazon
LRU Cache,Amazon
Sort List,Amazon
Max Points on a Line,Amazon
Evaluate Reverse Polish Notation,Amazon
Reverse Words in a String,Amazon
Maximum Product Subarray,Amazon
Find Minimum in Rotated Sorted Array,Amazon
Find Minimum in Rotated Sorted Array II,Amazon
Min Stack,Amazon
Read N Characters Given Read4 II - Call multiple times,Amazon
Intersection of Two Linked Lists,Amazon
One Edit Distance,Amazon
Find Peak Element,Amazon
Missing Ranges,Amazon
Compare Version Numbers,Amazon
Two Sum II - Input array is sorted,Amazon
Majority Element,Amazon
Excel Sheet Column Number,Amazon
Binary Search Tree Iterator,Amazon
Combine Two Tables,Amazon
Second Highest Salary,Amazon
Nth Highest Salary,Amazon
Rank Scores,Amazon
Largest Number,Amazon
Consecutive Numbers,Amazon
Employees Earning More Than Their Managers,Amazon
Customers Who Never Order,Amazon
Department Highest Salary,Amazon
Department Top Three Salaries,Amazon
Repeated DNA Sequences,Amazon
Best Time to Buy and Sell Stock IV,Amazon
Rotate Array,Amazon
Word Frequency,Amazon
Delete Duplicate Emails,Amazon
House Robber,Amazon
Binary Tree Right Side View,Amazon
Number of Islands,Amazon
Happy Number,Amazon
Remove Linked List Elements,Amazon
Count Primes,Amazon
Isomorphic Strings,Amazon
Reverse Linked List,Amazon
Course Schedule,Amazon
Implement Trie (Prefix Tree),Amazon
Minimum Size Subarray Sum,Amazon
Course Schedule II,Amazon
Design Add and Search Words Data Structure,Amazon
Word Search II,Amazon
House Robber II,Amazon
Shortest Palindrome,Amazon
Kth Largest Element in an Array,Amazon
Combination Sum III,Amazon
Contains Duplicate,Amazon
The Skyline Problem,Amazon
Contains Duplicate II,Amazon
Maximal Square,Amazon
Count Complete Tree Nodes,Amazon
Basic Calculator,Amazon
Implement Stack using Queues,Amazon
Invert Binary Tree,Amazon
Basic Calculator II,Amazon
Summary Ranges,Amazon
Majority Element II,Amazon
Kth Smallest Element in a BST,Amazon
Implement Queue using Stacks,Amazon
Number of Digit One,Amazon
Palindrome Linked List,Amazon
Lowest Common Ancestor of a Binary Search Tree,Amazon
Lowest Common Ancestor of a Binary Tree,Amazon
Delete Node in a Linked List,Amazon
Product of Array Except Self,Amazon
Sliding Window Maximum,Amazon
Search a 2D Matrix II,Amazon
Different Ways to Add Parentheses,Amazon
Valid Anagram,Amazon
Shortest Word Distance,Amazon
Group Shifted Strings,Amazon
Count Univalue Subtrees,Amazon
Meeting Rooms,Amazon
Meeting Rooms II,Amazon
Binary Tree Paths,Amazon
Single Number III,Amazon
Graph Valid Tree,Amazon
Trips and Users,Amazon
Ugly Number II,Amazon
Palindrome Permutation,Amazon
Missing Number,Amazon
Alien Dictionary,Amazon
Closest Binary Search Tree Value,Amazon
Closest Binary Search Tree Value II,Amazon
Integer to English Words,Amazon
Find the Celebrity,Amazon
Perfect Squares,Amazon
Move Zeroes,Amazon
Peeking Iterator,Amazon
Inorder Successor in BST,Amazon
Walls and Gates,Amazon
Find the Duplicate Number,Amazon
Game of Life,Amazon
Word Pattern,Amazon
Find Median from Data Stream,Amazon
Best Meeting Point,Amazon
Serialize and Deserialize Binary Tree,Amazon
Binary Tree Longest Consecutive Sequence,Amazon
Bulls and Cows,Amazon
Longest Increasing Subsequence,Amazon
Remove Invalid Parentheses,Amazon
Range Sum Query - Immutable,Amazon
Range Sum Query 2D - Immutable,Amazon
Range Sum Query - Mutable,Amazon
Best Time to Buy and Sell Stock with Cooldown,Amazon
Minimum Height Trees,Amazon
Sparse Matrix Multiplication,Amazon
Burst Balloons,Amazon
Binary Tree Vertical Order Traversal,Amazon
Count of Smaller Numbers After Self,Amazon
Remove Duplicate Letters,Amazon
Shortest Distance from All Buildings,Amazon
Coin Change,Amazon
Number of Connected Components in an Undirected Graph,Amazon
Maximum Size Subarray Sum Equals k,Amazon
Count of Range Sum,Amazon
Odd Even Linked List,Amazon
Longest Increasing Path in a Matrix,Amazon
Reconstruct Itinerary,Amazon
Largest BST Subtree,Amazon
Increasing Triplet Subsequence,Amazon
Self Crossing,Amazon
Palindrome Pairs,Amazon
House Robber III,Amazon
Counting Bits,Amazon
Nested List Weight Sum,Amazon
Longest Substring with At Most K Distinct Characters,Amazon
Flatten Nested List Iterator,Amazon
Reverse String,Amazon
Reverse Vowels of a String,Amazon
Top K Frequent Elements,Amazon
Design Tic-Tac-Toe,Amazon
Intersection of Two Arrays,Amazon
Intersection of Two Arrays II,Amazon
Android Unlock Patterns,Amazon
Data Stream as Disjoint Intervals,Amazon
Design Snake Game,Amazon
Russian Doll Envelopes,Amazon
Line Reflection,Amazon
Logger Rate Limiter,Amazon
Bomb Enemy,Amazon
Design Hit Counter,Amazon
Find Leaves of Binary Tree,Amazon
Largest Divisible Subset,Amazon
Find K Pairs with Smallest Sums,Amazon
Kth Smallest Element in a Sorted Matrix,Amazon
Insert Delete GetRandom O(1),Amazon
Linked List Random Node,Amazon
Ransom Note,Amazon
Shuffle an Array,Amazon
First Unique Character in a String,Amazon
Longest Absolute File Path,Amazon
Find the Difference,Amazon
Elimination Game,Amazon
Is Subsequence,Amazon
Decode String,Amazon
Longest Substring with At Least K Repeating Characters,Amazon
Evaluate Division,Amazon
Remove K Digits,Amazon
Frog Jump,Amazon
Sum of Left Leaves,Amazon
Queue Reconstruction by Height,Amazon
Trapping Rain Water II,Amazon
Longest Palindrome,Amazon
Split Array Largest Sum,Amazon
Fizz Buzz,Amazon
Arithmetic Slices,Amazon
Third Maximum Number,Amazon
Add Strings,Amazon
Partition Equal Subset Sum,Amazon
Pacific Atlantic Water Flow,Amazon
Battleships in a Board,Amazon
Strong Password Checker,Amazon
Maximum XOR of Two Numbers in an Array,Amazon
Convert Binary Search Tree to Sorted Doubly Linked List,Amazon
Construct Quad Tree,Amazon
Flatten a Multilevel Doubly Linked List,Amazon
All O`one Data Structure,Amazon
Non-overlapping Intervals,Amazon
Path Sum III,Amazon
Find All Anagrams in a String,Amazon
Find All Duplicates in an Array,Amazon
String Compression,Amazon
Add Two Numbers II,Amazon
Find All Numbers Disappeared in an Array,Amazon
Serialize and Deserialize BST,Amazon
Delete Node in a BST,Amazon
Sort Characters By Frequency,Amazon
Minimum Number of Arrows to Burst Balloons,Amazon
Minimum Moves to Equal Array Elements,Amazon
Assign Cookies,Amazon
132 Pattern,Amazon
Repeated Substring Pattern,Amazon
LFU Cache,Amazon
Island Perimeter,Amazon
Optimal Account Balancing,Amazon
Count The Repetitions,Amazon
Validate IP Address,Amazon
Encode String with Shortest Length,Amazon
Concatenated Words,Amazon
Matchsticks to Square,Amazon
Sliding Window Median,Amazon
Max Consecutive Ones,Amazon
Predict the Winner,Amazon
Robot Room Cleaner,Amazon
The Maze,Amazon
Target Sum,Amazon
Next Greater Element I,Amazon
Diagonal Traverse,Amazon
Next Greater Element II,Amazon
Perfect Number,Amazon
Fibonacci Number,Amazon
Find Largest Value in Each Tree Row,Amazon
Longest Palindromic Subsequence,Amazon
Coin Change 2,Amazon
Continuous Subarray Sum,Amazon
Contiguous Array,Amazon
Random Pick with Weight,Amazon
Minesweeper,Amazon
Encode and Decode TinyURL,Amazon
Convert BST to Greater Tree,Amazon
Minimum Time Difference,Amazon
Single Element in a Sorted Array,Amazon
Reverse String II,Amazon
01 Matrix,Amazon
Diameter of Binary Tree,Amazon
Boundary of Binary Tree,Amazon
Friend Circles,Amazon
Next Greater Element III,Amazon
Reverse Words in a String III,Amazon
Maximum Depth of N-ary Tree,Amazon
Subarray Sum Equals K,Amazon
Find the Closest Palindrome,Amazon
Permutation in String,Amazon
Managers with at Least 5 Direct Reports,Amazon
Subtree of Another Tree,Amazon
Find Cumulative Salary of an Employee,Amazon
Shortest Unsorted Continuous Subarray,Amazon
Find Customer Referee,Amazon
Customer Placing the Largest Number of Orders,Amazon
Design In-Memory File System,Amazon
N-ary Tree Postorder Traversal,Amazon
Find Duplicate File in System,Amazon
Valid Triangle Number,Amazon
Average Salary: Departments VS Company,Amazon
Merge Two Binary Trees,Amazon
Task Scheduler,Amazon
Design Circular Queue,Amazon
Exchange Seats,Amazon
Maximum Product of Three Numbers,Amazon
Smallest Range Covering Elements from K Lists,Amazon
Exclusive Time of Functions,Amazon
Average of Levels in Binary Tree,Amazon
Solve the Equation,Amazon
Design Search Autocomplete System,Amazon
Maximum Length of Pair Chain,Amazon
Palindromic Substrings,Amazon
Find Duplicate Subtrees,Amazon
Two Sum IV - Input is a BST,Amazon
Robot Return to Origin,Amazon
Find K Closest Elements,Amazon
Maximum Width of Binary Tree,Amazon
Non-decreasing Array,Amazon
Maximum Swap,Amazon
Second Minimum Node In a Binary Tree,Amazon
Longest Continuous Increasing Subsequence,Amazon
Cut Off Trees for Golf Event,Amazon
Valid Parenthesis String,Amazon
Next Closest Time,Amazon
Baseball Game,Amazon
Redundant Connection,Amazon
Repeated String Match,Amazon
Knight Probability in Chessboard,Amazon
Employee Importance,Amazon
Top K Frequent Words,Amazon
Number of Distinct Islands,Amazon
Max Area of Island,Amazon
Partition to K Equal Sum Subsets,Amazon
Insert into a Binary Search Tree,Amazon
Search in a Sorted Array of Unknown Size,Amazon
Kth Largest Element in a Stream,Amazon
Binary Search,Amazon
Design HashMap,Amazon
Insert into a Sorted Circular Linked List,Amazon
Best Time to Buy and Sell Stock with Transaction Fee,Amazon
Range Module,Amazon
Max Stack,Amazon
Accounts Merge,Amazon
Find Pivot Index,Amazon
Number of Atoms,Amazon
Minimum Window Subsequence,Amazon
My Calendar I,Amazon
Flood Fill,Amazon
Asteroid Collision,Amazon
Sentence Similarity II,Amazon
Daily Temperatures,Amazon
Network Delay Time,Amazon
Pyramid Transition Matrix,Amazon
Employee Free Time,Amazon
Partition Labels,Amazon
Reorganize String,Amazon
Basic Calculator IV,Amazon
Jewels and Stones,Amazon
Basic Calculator III,Amazon
Global and Local Inversions,Amazon
K-th Symbol in Grammar,Amazon
Letter Case Permutation,Amazon
Is Graph Bipartite?,Amazon
Cheapest Flights Within K Stops,Amazon
Valid Tic-Tac-Toe State,Amazon
Rotate String,Amazon
All Paths From Source to Target,Amazon
Minimum Swaps To Make Sequences Increasing,Amazon
Split Array With Same Average,Amazon
Bus Routes,Amazon
Most Common Word,Amazon
Making A Large Island,Amazon
Rectangle Overlap,Amazon
Similar String Groups,Amazon
Keys and Rooms,Amazon
Guess the Word,Amazon
Backspace String Compare,Amazon
Maximize Distance to Closest Person,Amazon
Peak Index in a Mountain Array,Amazon
K-Similar Strings,Amazon
Score of Parentheses,Amazon
Lemonade Change,Amazon
Shortest Subarray with Sum at Least K,Amazon
All Nodes Distance K in Binary Tree,Amazon
Prime Palindrome,Amazon
Length of Longest Fibonacci Subsequence,Amazon
Koko Eating Bananas,Amazon
Middle of the Linked List,Amazon
Boats to Save People,Amazon
Uncommon Words from Two Sentences,Amazon
Construct Binary Tree from Preorder and Postorder Traversal,Amazon
Maximum Frequency Stack,Amazon
Monotonic Array,Amazon
Online Stock Span,Amazon
Sort Array By Parity,Amazon
Snakes and Ladders,Amazon
Sort an Array,Amazon
Word Subsets,Amazon
Maximum Sum Circular Subarray,Amazon
Minimum Add to Make Parentheses Valid,Amazon
Sort Array By Parity II,Amazon
Minimum Falling Path Sum,Amazon
Reorder Data in Log Files,Amazon
Range Sum of BST,Amazon
Minimum Area Rectangle,Amazon
Flip Equivalent Binary Trees,Amazon
Verifying an Alien Dictionary,Amazon
Prison Cells After N Days,Amazon
Minimum Area Rectangle II,Amazon
Univalued Binary Tree,Amazon
Vowel Spellchecker,Amazon
